Monthly Climate Statistics for 'MELBOURNE REGIONAL OFFICE' [086071]																
Created on [ 16 Feb 2022 14:51:20 GMT+00:00]																
																
086071 MELBOURNE REGIONAL OFFICE																
Commenced: 1908																
Last Record: 2015																
Latitude:   37.81 Degrees South																
Longitude:  144.97 Degrees East																
Elevation:      31 m																
State: VIC																
																
Statistic Element	January	February	March	April	May	June	July	August	September	October	November	December	Annual	Number of Years	Start Year	End Year
Mean number of days of rain for years 1855 to 2015 	8.3	7.5	9.4	11.8	14.6	15.4	16.1	16.1	14.9	14.2	11.8	10.5	150.6	160	1855	2015
Mean number of days of rain >= 1 mm for years 1855 to 2015 	5.6	5.1	6.1	7.9	9.7	9.4	9.7	10.4	10.4	10.2	8.3	7.2	100	159	1855	2015
Mean number of days of rain >= 10 mm for years 1855 to 2015 	1.4	1.4	1.5	1.6	1.4	1.1	1	0.9	1.5	1.8	1.8	1.7	17.1	159	1855	2015
Mean number of days of rain >= 25 mm for years 1855 to 2015 	0.5	0.4	0.4	0.4	0.2	0.1	0.1	0.1	0.2	0.3	0.3	0.5	3.5	159	1855	2015
Mean daily wind run (km) for years 1955 to 2009 	237	226	206	203	212	219	245	250	255	250	254	250	234	42	1955	2009
Maximum wind gust speed (km/h) for years 1957 to 2009 	95	91	102	97	93	102	102	108	121	104	106	104	121	51	1957	2009
Date of Maximum wind gust speed for years 1957 to 2009 	08-Jan-69	13-Feb-62	26-Mar-84	30-Apr-74	14-May-64	28-Jun-64	24-Jul-64	26-Aug-67	03-Sep-82	06-Oct-68	08-Nov-61	07-Dec-81	03-Sep-82	N/A	1957	2009
Mean daily sunshine (hours) for years 1955 to 1967 	9	8.1	6.8	5.6	3.9	3.6	3.7	4.7	5.7	6.3	7	7.5	6	13	1955	1967
Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2022 	24.3	21.1	16.4	11.2	7.7	6.3	7	9.9	13.4	17.9	21.4	24	15.1	32	1990	2022
Mean number of clear days for years 1955 to 2010 	6.1	6.2	6	4.6	3	2.5	2.6	2.9	3.1	3.7	3.6	4.3	48.6	56	1955	2010
Mean number of cloudy days for years 1955 to 2010 	11.2	9.7	13.3	14.8	18.1	16.9	17.3	16.7	15.9	16.2	15.1	14.2	179.4	56	1955	2010
Mean daily evaporation (mm) for years 1955 to 2015 	5.8	5.2	3.9	2.5	1.6	1.1	1.2	1.7	2.6	3.6	4.5	5.2	3.2	57	1955	2015
Mean 9am temperature (Degrees C) for years 1955 to 2010 	19.1	19.1	17.5	14.7	11.7	9.4	8.7	10	12.3	14.7	16.1	17.7	14.2	56	1955	2010
Mean 9am wet bulb temperature (Degrees C) for years 1955 to 2010 	14.9	15.3	14.1	11.9	9.8	7.9	7.1	7.8	9.4	11	12.3	13.6	11.3	56	1955	2010
Mean 9am dew point temperature (Degrees C) for years 1955 to 2010 	11.3	12.1	11.1	9.1	7.6	6	5.1	5.2	6.1	7.2	8.6	9.9	8.3	56	1955	2010
Mean 9am relative humidity (%) for years 1955 to 2010 	63	66	68	71	77	80	79	73	67	62	63	62	69	56	1955	2010
Mean 9am cloud cover (okas) for years 1955 to 2010 	4.9	4.8	4.9	5.1	5.5	5.5	5.4	5.3	5.4	5.4	5.5	5.4	5.3	56	1955	2010
Mean 9am wind speed (km/h) for years 1955 to 2009 	10	9.1	8.9	8.7	9.1	9.4	10.4	11.3	12.4	12.6	11.5	10.8	10.4	54	1955	2009
Mean 3pm temperature (Degrees C) for years 1955 to 2010 	24.2	24.7	22.8	19.6	16.3	13.7	13	14.3	16.1	18.3	20.4	22.4	18.8	56	1955	2010
Mean 3pm wet bulb temperature (Degrees C) for years 1955 to 2010 	16.9	17.4	16.1	14	12.1	10.3	9.5	10	11.2	12.7	14.1	15.5	13.3	56	1955	2010
Mean 3pm dew point temperature (Degrees C) for years 1955 to 2010 	10.9	11.7	10.6	8.8	7.9	6.5	5.4	5.1	5.8	7	8.3	9.5	8.1	56	1955	2010
Mean 3pm relative humidity (%) for years 1955 to 2010 	47	48	49	52	59	63	61	56	53	50	49	47	53	56	1955	2010
Mean 3pm cloud cover (oktas) for years 1955 to 2010 	4	4	4.6	5.1	5.7	5.7	5.6	5.6	5.4	5.3	5.1	4.7	5.1	56	1955	2010
Mean 3pm wind speed (km/h) for years 1955 to 2009 	14.8	14.3	13.1	12.9	12.5	12.6	14.1	15.2	15.8	15.5	14.9	15.3	14.2	54	1955	2009
